Symbol,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
a,son,syll,lab,dor,low,phar,voi,cont,,,,,,,,,,,,,,,,,,,,,,,
b,cons,lab,voi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,cons,cor,dist,dor,high,,,,,,,,,,,,,,,,,,,,,,,,,,
d,cons,cor,ant,voi,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,son,syll,lab,dor,tense,phar,ATR,voi,cont,,,,,,,,,,,,,,,,,,,,,,
f,cons,lab,cont,strid,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,cons,dor,high,back,voi,,,,,,,,,,,,,,,,,,,,,,,,,,
h,SG,cont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,son,syll,lab,dor,high,tense,phar,ATR,voi,cont,,,,,,,,,,,,,,,,,,,,,
j,son,lab,dor,high,voi,cont,,,,,,,,,,,,,,,,,,,,,,,,,
k,cons,dor,high,back,,,,,,,,,,,,,,,,,,,,,,,,,,,
l,cons,son,cor,ant,voi ,cont,lat,,,,,,,,,,,,,,,,,,,,,,,,
m,cons,son,lab,voi,nas,,,,,,,,,,,,,,,,,,,,,,,,,,
n,cons,son,cor,ant,voi,nas,,,,,,,,,,,,,,,,,,,,,,,,,
o,son,syll,lab,rnd,dor,back,tense,phar,ATR,voi,cont,,,,,,,,,,,,,,,,,,,,
p,cons,lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q,cons,dor,back,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,cons,son,cor,ant,voi,cont,,,,,,,,,,,,,,,,,,,,,,,,,
s,cons,cor,ant,cont,strid,,,,,,,,,,,,,,,,,,,,,,,,,,
t,cons,cor,ant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,son,syll,lab,rnd,dor,high,back,tense,phar,ATR,voi,cont,,,,,,,,,,,,,,,,,,,
v,cons,lab,voi ,cont,strid,,,,,,,,,,,,,,,,,,,,,,,,,,
